,trope_id,name,category,description,raw_tags,include_in_model,notes
0,action_adventure,Action & Adventure,genre,"Plot-driven stories focused on physical action, danger, and high-stakes journeys.","Action, Adventure",True,
1,contemporary_fiction,Contemporary / General Fiction,genre,"Stories set roughly in the present day with realistic, non-speculative elements.","Contemporary, Urban",True,
2,fantasy,Fantasy,genre,"Stories with magical or supernatural elements, often in a secondary world.","Fantasy, High Fantasy, Low Fantasy, Urban Fantasy, Fairy Tale, Isekai",True,
3,science_fiction,Science Fiction,genre,"Stories centered on speculative technology, science, or futuristic settings.","Sci-Fi, Science Fiction, Space Opera, Cyberpunk, Steampunk",True,
4,dystopian_post_apocalyptic,Dystopian / Post-Apocalyptic,genre,"Stories set in collapsed, oppressive, or radically transformed societies.","Dystopian, Utopia, Apocalypse, Post-Apocalypse, Aftermath",True,
5,horror,Horror,genre,"Stories intended to frighten or unsettle, often featuring threats or the uncanny.","Horror, Slasher, Gothic",True,
6,mystery_crime_thriller,Mystery / Crime / Thriller,genre,"Stories driven by investigation, crime, or suspenseful high-stakes plots.","Mystery, Murder Mystery, Crime, Suspense, Thriller, Psychological Thriller",True,
7,romance,Romance,genre,Stories where a romantic relationship is the primary focus of the plot and resolution.,Romance,True,
8,historical_fiction,Historical Fiction,genre,"Stories set primarily in a past era, often engaging with historical events or settings.","Historical Fiction, Alternate History, Period Piece, Western",True,
9,paranormal_supernatural,Paranormal / Supernatural,genre,"Stories featuring ghosts, magic, or supernatural phenomena in otherwise recognizable worlds.","Paranormal, Supernatural, Spiritual, Witchcraft, Angels, Demons, Vampires",True,
10,young_adult_coming_of_age,Young Adult / Coming-of-Age,genre,"Stories focused on teens or young adults navigating identity, growth, and transition.","Coming of Age, Young Adult, Teenagers, School, College/University, Family, Friendship",True,
11,literary_slice_of_life,Literary / Slice of Life / Philosophical,genre,"Character-driven stories emphasizing interiority, everyday life, and thematic or philosophical depth.","Drama, Slice of Life, Philosophical, Surreal, Tragedy, Poetry",True,
12,found_family,Found family,story_trope,"Characters form a chosen, close-knit family over the course of the story.","Found Family, Band of Misfits, Team as Family, Team Bonding, Bromance, Friendship",True,
13,chosen_one_destiny,Chosen one / destiny,story_trope,A character is singled out by prophecy or fate to play a special role.,"Chosen One, Destiny, Fate, Backstory/Origin Story, Good Versus Evil",True,
14,antihero_morally_grey,Anti-hero / morally grey lead,story_trope,The central character has ambiguous morals or operates outside conventional heroism.,"Anti-Hero, Morally Grey, Morally Ambiguous Characters, Sympathetic Villain",True,
15,redemption_arc,Redemption arc,story_trope,A character seeks to atone for past harm or wrongdoing.,"Redemption, Regret, Heroes to Villains, Villains to Heroes",True,
16,revenge_motive,Revenge,story_trope,A character is driven by a desire for revenge or retribution.,"Revenge, Vengeance, Betrayal",True,
17,political_intrigue,Political / court intrigue,story_trope,"Plots driven by court politics, power struggles, and schemes.","Politics, Political Intrigue, Corruption, Royalty, Rebels, Revolution, Freedom Fighters",True,
18,survival_war,Survival / war,story_trope,"Characters struggle to survive war, conflict, or harsh conditions.","War, Military, Survival, Wilderness, Aftermath",True,
19,heist_crime_caper,Heist / crime caper,story_trope,Storylines centered on planning and executing a crime or high-stakes mission.,"Criminals, Bounty Hunters, Mafia, Spies, Robbery, Heist",True,
20,kidnapping_captivity,Kidnapping / captivity,story_trope,"A character is kidnapped, held captive, or otherwise trapped.","Kidnapping, Imprisonment, Locked In, Trapped, Rescue Missions",True,
21,school_campus,School / campus story,story_trope,"Stories centered on school, university, or campus life.","School, College, University, Higher Education, Teenagers, Delinquents",True,
22,workplace_professional,Workplace / professional setting,story_trope,Stories focused on characters' jobs or professional environments.,"Medical, Hospital, Restaurants, Workplace, Office",True,
23,time_travel_reincarnation,Time travel / reincarnation,story_trope,Characters move through time or live multiple lives.,"Time Travel, Time Loop, Past Lives, Reincarnation, Resurrection, Rebirth, Peggy Sue",True,
24,afterlife_ghosts,Afterlife / ghosts,story_trope,"Stories dealing with life after death, spirits, or haunting.","Afterlife, Ghosts, Spirits",True,
25,supernatural_creatures,Supernatural creatures,story_trope,Prominent focus on non-human supernatural beings.,"Vampires, Demons, Angels, Merpeople, Dragons, Mythical Beings & Creatures, Monsters, Witchcraft",True,
26,secret_identity_double_life,Secret identity / double life,story_trope,A character hides their true identity or lives a double life.,"Secret Identity, Undercover, Spies, Superheroes",True,
27,road_trip_travel,Road trip / travel adventure,story_trope,Plot structured around a journey or extended travel.,"Road Trip, Travel, Wilderness",True,
28,next_generation_legacy,Next generation / legacy story,story_trope,Focus on children of previous heroes or inheriting a legacy.,"Next Gen, Next Generation, Parenthood, Single Parents, Siblings, Orphans, Family",True,
29,lgbtq_lead,LGBTQ+ lead,representation,The primary point-of-view character or central protagonist is LGBTQ+.,"Gay Character, Lesbian Character, Bisexual Character, Pansexual Character, Queer Character, LGBTQ Character, LGBTQ Themes",True,
30,trans_nonbinary_lead,Trans or non-binary lead,representation,"The main character is explicitly described as transgender, non-binary, or gender nonconforming.","Trans Character, Transgender Character, Nonbinary Character, Genderqueer Character",True,
31,bipoc_lead,BIPOC lead,representation,"The main character is Black, Indigenous, or a person of color and this identity is foregrounded.","Asian Character, Black Character, Indigenous Character, Latinx Character, Person of Color, BIPOC Character",True,Map specific race/ethnicity tags here; keep raw tags in metadata if you need finer detail.
32,disabled_lead,Disabled / chronically ill lead,representation,The main character has a physical disability or chronic illness that is explicitly acknowledged.,"Disabled Character, Disability, Wheelchair User, Blind Character, Deaf Character, Chronic Illness",True,
33,neurodivergent_lead,Neurodivergent lead,representation,"The main character is autistic, ADHD, dyslexic, or otherwise explicitly described as neurodivergent.","Autistic Character, ADHD, Neurodivergent, Dyslexic Character",True,
34,faith_centered_lead,Faith-centered lead,representation,"Faith, religion, or spiritual practice is central to the main characterâ€™s identity or arc.","Jewish Character, Christian Character, Muslim Character, Hindu Character, Buddhist Character, Religion, Spiritual",True,
35,cw_violence_gore,Violence & gore,content_warning,"Contains significant physical violence, combat, or graphic injury.","Violence, Gore, Blood, War, Fights, Weapons",True,
36,cw_abuse,Abuse,content_warning,"Depicts emotional, physical, or domestic abuse.","Abuse, Domestic Abuse, Emotional Abuse",True,
37,cw_bullying_harassment,Bullying & harassment,content_warning,"Includes bullying, harassment, or targeted cruelty toward a character.","Bullying, Harassment, Humiliation",True,
38,cw_self_harm_suicide,Self-harm & suicide,content_warning,"References or depicts self-harm, suicidal ideation, or suicide attempts.","Self-Harm, Suicide",True,
39,cw_substance_use,Substance use & addiction,content_warning,"Features problematic use of alcohol or drugs, including addiction.","Drugs, Alcohol, Substance Abuse",True,
40,cw_medical_trauma,Serious illness & medical trauma,content_warning,"Focuses on serious illness, injury, or distressing medical situations.","Illness, Sick Character, Medical, Hospital, Injury",True,
41,cw_kidnapping_captivity,Kidnapping & captivity,content_warning,"Involves kidnapping, forced confinement, or captivity.","Kidnapping, Imprisonment, Locked In, Trapped",True,
42,cw_trauma_ptsd,Trauma & PTSD themes,content_warning,Centers on traumatic experiences and their psychological aftermath.,"Trauma, Nightmares, Mental Health Issues, Depression, Grief, Mourning, Loss",True,
